id,x,y,z
12f,163.8997,125.9006,0
23,168.6298,125.9006,0
269,287.9117,191.1118,0
270,216.1265,135.1913,0
272,212.4425,135.9191,0
271,212.4426,132.2608,0
8,108.7569,263.4856,0
9,127.5961,253.6509,0
11,130.8669,244.9465,0
27,142.6899,257.6493,0
26,142.7165,254.0711,0
25,142.6833,250.4108,0
24,142.6951,246.7959,0
23,142.6968,243.0673,0
22,142.7165,239.6711,0
13,130.3614,237.3553,0
12,122.2072,237.2613,0
15,122.1997,232.5940,0
14,129.2073,232.5939,0
16,134.2348,227.0576,0
18,125.8951,220.5594,0
17,135.5743,220.3136,0
21,143.7276,228.9206,0
20,143.7337,224.2545,0
19,142.9216,213.3451,0
277,189.3482,273.6019,0
10,134.5397,257.9765,0
6,105.2897,269.5265,0
5,105.2972,273.8289,0
1,105.2935,278.5452,0
2,109.4610,279.1421,0
3,114.8718,278.0849,0
4,114.8858,273.8565,0
7,112.3397,269.1165,0
278,168.1479,245.0429,0
279,50.3471,211.2545,0
280,233.8106,335.9707,0
40,142.7246,223.6052,1
44,141.5812,218.7864,1
45,144.7367,218.7860,1
49,148.3103,212.6947,1
48,143.5497,212.3187,1
47,139.6295,212.3179,1
46,134.9065,213.2631,1
43,134.8997,218.5899,1
42,134.9072,221.6259,1
41,134.8997,225.2299,1
38,134.9034,228.8528,1
39,142.7143,228.8261,1
35,142.7127,233.0612,1
37,134.9034,232.4570,1
36,134.8997,235.9849,1
33,134.9104,238.9888,1
34,142.7040,240.3174,1
32,134.9057,242.4708,1
31,140.9514,243.6500,1
30,144.0716,243.6633,1
29,142.7181,246.7979,1
28,134.9068,246.7939,1
51,158.0797,220.3349,1
50,158.1922,212.6773,1
52,165.2349,220.3379,1
268,186.9286,216.4720,1
273,162.8598,269.7987,1
53,196.5218,277.8086,1
65,148.0861,190.7168,1
73,126.1957,191.1156,1
116,138.7298,126.4906,1
129,114.3197,153.4306,1
74,122.0066,191.1156,1
71,133.9066,191.1156,1
132,114.3126,164.1562,1
118,148.2143,126.8643,1
101,106.5149,139.6155,1
125,126.0598,134.3796,1
91,136.8597,183.2256,1
99,106.4297,153.4206,1
119,148.2800,134.4036,1
83,106.4297,182.2174,1
67,140.4666,192.0900,1
66,143.9566,191.1156,1
115,135.1298,126.4906,1
93,142.8331,183.1730,1
88,126.1998,183.2256,1
81,105.2447,191.0906,1
120,144.6998,134.3786,1
109,115.2998,126.4903,1
105,107.7847,129.9874,1
97,106.4297,160.5906,1
102,106.4297,135.3606,1
130,114.3197,156.4206,1
108,111.7748,126.4905,1
89,129.6747,183.2256,1
75,118.3066,191.1156,1
117,143.4743,126.5062,1
103,104.2297,131.7337,1
96,106.4537,164.1440,1
123,133.9848,134.3796,1
79,110.5497,188.4606,1
70,136.8539,192.2099,1
104,104.2297,128.1405,1
80,109.0647,191.9656,1
98,106.4347,156.9906,1
84,106.8125,178.1099,1
114,132.7848,126.4906,1
110,118.8998,126.4903,1
86,120.7347,183.2255,1
100,106.8102,149.2930,1
111,122.5997,126.4903,1
92,139.8666,183.2256,1
121,142.3298,134.3796,1
78,112.0247,191.9656,1
112,126.1998,126.4907,1
133,114.3447,168.3415,1
124,129.6748,134.3796,1
95,106.8235,168.2759,1
69,136.8566,188.7049,1
127,114.3450,139.5247,1
107,108.2080,124.6441,1
85,114.3187,178.0415,1
76,115.3147,189.0130,1
131,114.3197,160.0206,1
82,106.4297,185.7674,1
122,138.7298,134.3796,1
72,130.4231,191.1759,1
106,104.5877,124.6486,1
87,123.2097,183.2254,1
113,129.6747,126.4907,1
68,140.4672,188.5849,1
94,147.7917,183.2417,1
90,133.3847,183.2256,1
128,114.3159,149.2397,1
77,115.3147,192.5151,1
126,121.8647,134.3796,1
B_1_246_,250.8145,139.4737,1
B_1_248_,258.3346,139.5228,1
