label,id
Mensa,277
Auditorium,278
A1.1,7
A1.2,6
A1.3,5
A1.4,1
A1.5,2
A1.6,3
A1.7,4
A8,17
A9,19
A10a,28
A11,32
A12-dom,20
A12,33
A13,36
A14,37
A15,38
A16,41
A17,42
A18,43
A19,46
A20,47
A21,48
A22-server,9
A22,49
A23,44
A23a,45
A23b,40
A23c,39
A24,35
A25-26,34
A27,31
A27a,30
A28,29
A32,52
A32a,51
A33a,50
Area 47,273
Aula10,18
Aula40,53
B1,54
B2,55
B3,56
B4,57
B5,58
B6,59
B11,60
B63,65
B63b,66
B63c,67
B63a,68
B64,69
B64a,70
B64b,71
B65,72
B65a,73
B65b,74
B65c,76
B65d,75
B65e,77
B66,79
B66a,78
B66b,80
B66c,81
B67,82
B67a,83
B68,84
B69,85
B7,64
B70,86
B71,87
B72,88
B73,89
B74,90
B75,91
B76,94
B76a,93
B76b,92
B8,63
B9,61
B9a,62
CED1a,8
CED13,21
CED16,22
CED17,23
CED18,24
CED19,25
CED20,26
CED21,27
CED22b,14
CED-archivio-registro,11
CED-locale-tecnico,12
CED-sala-macchine,13
IFC55,274
IFC68,275
IGG-4,269
IPCF-5a,272
IPCF-7,271
IPCF-9,270
ISTI-C25a,184
ISTI-I87,256
A-11,16
C-10,172
C-12,170
C-12a,169
C-13,168
C-14,171
C-15,173
C-16,174
C-17,175
C-18,176
C-19,177
C-20,178
C-21,179
C-22,180
C-23,181
C-24,182
C-25,183
C-25b,185
C-26,186
C-27,187
C-28,188
C-29,189
C-30,190
C-31,191
C-32,192
C-33,193
C-34,194
C-35,195
C-36,196
C-36b,197
C-37,198
C-38,199
C-39,200
C-40,201
C-41,202
C-41a,203
C-42,204
C-43,205
C-44,206
C-45,207
C-46,208
C-47,209
C-48,210
C-49,211
C-50,212
C-51,213
C-52,214
C-53,215
C-54,216
C-54a,217
C-55,218
C-56,224
C-57,223
C-58,222
C-59,221
C-60,220
C-60a,219
C-61,225
C-61a,226
C-62,227
C-63,228
C-64,229
C-65,230
C-66,231
C-67,232
C-68,233
C-69,234
C-70,235
C-70a,236
C-71,237
C-72,238
C-73,239
C-74,240
I-01,100
I-02,99
I-03,98
I-04,97
I-05,96
I-06,95
I-07,133
I-07a,132
I-08,131
I-09,130
I-10,129
I-11,128
I-12,101
I-14,102
I-15,105
I-15a,103
I-15b,104
I-15c,106
I-15d,107
I-16,108
I-17,109
I-18,110
I-19,111
I-20,112
I-21,113
I-22,114
I-23,115
I-24,116
I-25,117
I-26,118
I-27,119
I-28,120
I-29,121
I-30,122
I-31,123
I-32,124
I-33,125
I-34,126
I-35,127
I-36,141
I-37,134
I-38,135
I-39,136
I-40,137
I-41,138
I-42,139
I-43,140
I-44,167
I-45,166
I-46a,163
I-46b,164
I-46c,165
I-47,162
I-48,160
I-48a,159
I-48b,161
I-49,156
I-49a,158
I-49b,157
I-50,155
I-51,154
I-51a,153
I-52,152
I-53,151
I-54,150
I-55,149
I-56,148
I-57,147
I-58,146
I-58b,145
I-59,144
I-60,143
I-61,142
I-77,241
i-77a,242
I-78,247
I-78a,246
I-78b,245
I-78c,244
I-78d,243
I-79,248
I-80,249
I-81,250
I-82,251
I-83,252
I-84,253
I-85,254
I-86,255
I-88,257
I-89,258
I-90,259
I-91,260
I-92,261
I-93,262
I-94,263
I-95,264
I-96,265
I-97,266
I-98,267
Library,268
